2436,2.31,-1.01,-9.53,-0.0011,0.0000,0.0000
2551,2.25,-0.96,-9.53,-0.0005,0.0024,-0.0029
2666,2.24,-0.98,-9.50,0.0003,0.0037,0.0005
2781,2.28,-0.94,-9.53,0.0016,0.0003,0.0011
2896,2.30,-0.98,-9.53,0.0019,-0.0019,-0.0013
3012,2.31,-0.96,-9.53,-0.0019,-0.0029,-0.0037
3127,2.30,-0.99,-9.53,0.0027,0.0019,-0.0008
3242,2.31,-0.95,-9.56,-0.0027,-0.0003,-0.0005
3357,2.30,-0.97,-9.51,0.0045,0.0051,-0.0011
3473,2.27,-0.98,-9.53,-0.0005,0.0016,-0.0029
3588,2.32,-0.96,-9.56,-0.0003,-0.0045,-0.0021
3704,2.30,-0.95,-9.54,0.0027,0.0024,-0.0053
3819,2.30,-0.98,-9.53,0.0021,-0.0013,-0.0032
3934,2.28,-0.98,-9.56,0.0005,0.0019,-0.0005
4049,2.30,-0.99,-9.53,0.0005,-0.0029,-0.0029
4164,2.30,-0.96,-9.53,-0.0005,0.0024,-0.0011
4279,2.28,-1.02,-9.50,-0.0011,0.0029,-0.0024
4394,2.31,-0.95,-9.53,0.0021,-0.0011,-0.0032
4509,2.30,-0.95,-9.53,-0.0016,0.0019,-0.0045
4624,2.29,-0.96,-9.52,0.0053,0.0024,-0.0016
4740,2.34,-0.96,-9.53,0.0011,0.0048,-0.0035
4855,2.30,-1.00,-9.52,-0.0003,0.0069,-0.0013
4971,2.28,-0.96,-9.54,0.0032,0.0053,0.0003
5086,2.32,-0.98,-9.51,-0.0021,0.0051,-0.0011
5201,2.30,-0.96,-9.56,0.0005,-0.0003,-0.0035
5316,2.31,-0.96,-9.56,0.0040,0.0048,-0.0037
5431,2.28,-0.96,-9.54,0.0013,0.0003,-0.0040
5546,2.29,-0.96,-9.51,0.0008,0.0032,-0.0024
5662,2.32,-0.93,-9.50,0.0043,-0.0008,-0.0003
5776,2.31,-0.98,-9.53,0.0003,0.0011,-0.0021
5892,2.30,-0.96,-9.54,-0.0027,-0.0013,-0.0027
6007,2.26,-0.98,-9.52,0.0024,0.0013,-0.0048
6123,2.27,-1.00,-9.56,0.0011,0.0003,-0.0021
6238,2.26,-0.95,-9.51,0.0059,0.0021,-0.0035
6353,2.30,-0.97,-9.56,-0.0008,0.0013,-0.0013
6468,2.31,-1.00,-9.56,0.0008,0.0003,-0.0021
6583,2.29,-0.98,-9.52,-0.0005,0.0016,-0.0021
6699,2.30,-0.98,-9.52,0.0013,0.0008,-0.0027
6814,2.28,-0.99,-9.56,0.0013,-0.0021,-0.0019
6930,2.31,-0.93,-9.54,-0.0037,-0.0011,-0.0027
7045,2.31,-1.01,-9.53,-0.0005,0.0024,0.0011
7159,2.29,-0.98,-9.53,0.0008,-0.0011,-0.0029
7275,2.34,-0.96,-9.52,0.0029,0.0029,-0.0024
7390,2.30,-0.95,-9.51,0.0005,0.0029,-0.0048
7505,2.30,-0.96,-9.55,0.0035,-0.0027,-0.0013
7619,2.31,-0.96,-9.55,0.0016,0.0005,-0.0019
7734,2.31,-0.97,-9.53,0.0021,-0.0035,-0.0008
7850,2.28,-0.95,-9.53,-0.0019,0.0011,-0.0021
7964,2.30,-0.98,-9.58,0.0037,0.0016,-0.0005
8079,2.33,-0.91,-9.53,-0.0005,0.0013,-0.0016
8195,2.31,-0.99,-9.52,0.0011,0.0011,-0.0035
8310,2.30,-0.97,-9.53,0.0029,-0.0003,-0.0013
8425,2.31,-0.95,-9.57,0.0008,-0.0024,-0.0043
8541,2.34,-0.98,-9.52,-0.0029,-0.0003,-0.0032
